id,centre,number,primary,type,country,source,person
,C#44000106,01200 423672,TRUE,lan,GB,OFSTED,
,C#44000107,1200423672,TRUE,lan,GB,OFSTED,
,C#44000108,1200423018,TRUE,lan,GB,OFSTED,
,C#44000109,07980 177411,TRUE,mob,GB,OFSTED,
,C#44000110,7790721159,TRUE,mob,GB,OFSTED,
,C#44000111,01200 423244,TRUE,lan,GB,OFSTED,
,C#44000112,01200 444833,TRUE,lan,GB,OFSTED,
,C#44000113,1200422239,TRUE,lan,GB,OFSTED,
,C#44000114,01200 425269,TRUE,lan,GB,OFSTED,
,C#44000115,1200448276,TRUE,lan,GB,OFSTED,
,C#44015921,01708 766 211,TRUE,lan,GB,OFSTED,
,C#44000117,1200422915,TRUE,lan,GB,OFSTED,
,C#44000118,7716211641,TRUE,mob,GB,OFSTED,
,C#44000120,01200 441 779,TRUE,lan,GB,OFSTED,
,C#44000121,01200 441665,TRUE,lan,GB,OFSTED,
,C#44000122,1200447632,TRUE,lan,GB,OFSTED,
,C#44000123,1200441257,TRUE,lan,GB,OFSTED,
,C#44000124,01254 824880,TRUE,lan,GB,OFSTED,
,C#44000125,1254823546,TRUE,lan,GB,OFSTED,
,C#44000126,01254 823276,TRUE,lan,GB,OFSTED,
,C#44000127,1282771000,TRUE,lan,GB,OFSTED,
,C#44000128,7715527758,TRUE,mob,GB,OFSTED,
,C#44000129,7895850687,TRUE,mob,GB,OFSTED,
,C#44000130,1254826246,TRUE,lan,GB,OFSTED,
,C#44000131,07877 702 186,TRUE,mob,GB,OFSTED,
,C#44000132,1254825550,TRUE,lan,GB,OFSTED,
,C#44000133,07930 153530,TRUE,mob,GB,OFSTED,
,C#44000134,1282864411,TRUE,lan,GB,OFSTED,
,C#44000135,01282 864411,TRUE,lan,GB,OFSTED,
,C#44000136,1282865840,TRUE,lan,GB,OFSTED,
,C#44000137,01282 863 225,TRUE,lan,GB,OFSTED,
,C#44000138,1282866655,TRUE,lan,GB,OFSTED,
,C#44000139,01282 868249,TRUE,lan,GB,OFSTED,
,C#44000140,1282865011,TRUE,lan,GB,OFSTED,
,C#44000141,01282 868199,TRUE,lan,GB,OFSTED,
,C#44000142,01282 866 100,TRUE,lan,GB,OFSTED,
,C#44000143,01282 861355,TRUE,lan,GB,OFSTED,
,C#44000144,01282 862923,TRUE,lan,GB,OFSTED,
,C#44000145,01282 616 735,TRUE,lan,GB,OFSTED,
,C#44000146,7922593067,TRUE,mob,GB,OFSTED,
,C#44000147,7866607371,TRUE,mob,GB,OFSTED,
,C#44000148,01282 931310,TRUE,lan,GB,OFSTED,
,C#44000149,01282 691 250,TRUE,lan,GB,OFSTED,
,C#44000150,1282614834,TRUE,lan,GB,OFSTED,
,C#44000151,1282614636,TRUE,lan,GB,OFSTED,
,C#44000152,1282613709,TRUE,lan,GB,OFSTED,
,C#44000153,7989056974,TRUE,mob,GB,OFSTED,
,C#44000154,7796313976,TRUE,mob,GB,OFSTED,
,C#44000155,7383209160,TRUE,mob,GB,OFSTED,
,C#44000156,128222380,TRUE,lan,GB,OFSTED,
,C#44000157,7944513772,TRUE,mob,GB,OFSTED,
,C#44000158,01280 604 555,TRUE,lan,GB,OFSTED,
,C#44000159,1282619229,TRUE,lan,GB,OFSTED,
,C#44000160,1282612807,TRUE,lan,GB,OFSTED,
,C#44000161,01282 612086,TRUE,lan,GB,OFSTED,
,C#44000162,01282 835638,TRUE,lan,GB,OFSTED,
,C#44000163,1282449806,TRUE,lan,GB,OFSTED,
,C#44000164,1282615183,TRUE,lan,GB,OFSTED,
,C#44000165,1282618899,TRUE,lan,GB,OFSTED,
,C#44000166,7923325773,TRUE,mob,GB,OFSTED,
,C#44000167,01282 613 437,TRUE,lan,GB,OFSTED,
,C#44000168,1282613437,TRUE,lan,GB,OFSTED,
,C#44000169,1282612319,TRUE,lan,GB,OFSTED,
,C#44000170,01282 615998,TRUE,lan,GB,OFSTED,
,C#44000171,01282 698057,TRUE,lan,GB,OFSTED,
,C#44000172,1282612709,TRUE,lan,GB,OFSTED,
,C#44000173,1274743825,TRUE,lan,GB,OFSTED,
,C#44000174,1274299799,TRUE,lan,GB,OFSTED,
,C#44000175,7443587809,TRUE,mob,GB,OFSTED,
,C#44000176,01274 732 654,TRUE,lan,GB,OFSTED,
,C#44000177,1274456192,TRUE,lan,GB,OFSTED,
,C#44000178,7958183295,TRUE,mob,GB,OFSTED,
,C#44000179,1274611327,TRUE,lan,GB,OFSTED,
,C#44000180,01274 292126,TRUE,lan,GB,OFSTED,
,C#44000181,01274 601575,TRUE,lan,GB,OFSTED,
,C#44000182,01274 397415,TRUE,lan,GB,OFSTED,
,C#44000183,01274 601575,TRUE,lan,GB,OFSTED,
,C#44000184,01274 614291,TRUE,lan,GB,OFSTED,
,C#44000185,7837622836,TRUE,mob,GB,OFSTED,
,C#44000186,1274414437,TRUE,lan,GB,OFSTED,
,C#44000187,1274616200,TRUE,lan,GB,OFSTED,
,C#44000188,7967652938,TRUE,mob,GB,OFSTED,
,C#44000189,01274 611234,TRUE,lan,GB,OFSTED,
,C#44000190,01274 613100,TRUE,lan,GB,OFSTED,
,C#44000191,1274611324,TRUE,lan,GB,OFSTED,
,C#44000192,1274611512,TRUE,lan,GB,OFSTED,
,C#44000193,01274 613614,TRUE,lan,GB,OFSTED,
,C#44000194,01274 622776,TRUE,lan,GB,OFSTED,
,C#44000195,01274 612991,TRUE,lan,GB,OFSTED,
,C#44000196,0113 285 2300,TRUE,lan,GB,OFSTED,
,C#44000197,0113 285 3085,TRUE,lan,GB,OFSTED,
,C#44000198,0113 285 3000,TRUE,lan,GB,OFSTED,
,C#44000199,01274 68 1643,TRUE,lan,GB,OFSTED,
,C#44000200,0127 465 1232,TRUE,lan,GB,OFSTED,
,C#44000201,01274 689 099,TRUE,lan,GB,OFSTED,
,C#44000202,01274 691443,TRUE,lan,GB,OFSTED,
,C#44000203,1274678386,TRUE,lan,GB,OFSTED,
,C#44000204,1274690622,TRUE,lan,GB,OFSTED,
,C#44000205,01274 690622,TRUE,lan,GB,OFSTED,
,C#44000206,07967 518277,TRUE,mob,GB,OFSTED,
,C#44000207,1274678385,TRUE,lan,GB,OFSTED,
,C#44000208,01274 800500,TRUE,lan,GB,OFSTED,
,C#44000209,1274600550,TRUE,lan,GB,OFSTED,
,C#44000210,1274602457,TRUE,lan,GB,OFSTED,
,C#44000211,1274679320,TRUE,lan,GB,OFSTED,
,C#44000212,01274 691999,TRUE,lan,GB,OFSTED,
,C#44000213,1274884173,TRUE,lan,GB,OFSTED,
,C#44000214,1274884173,TRUE,lan,GB,OFSTED,
,C#44000215,1274815825,TRUE,lan,GB,OFSTED,
,C#44000216,1274882426,TRUE,lan,GB,OFSTED,
,C#44000217,1274884500,TRUE,lan,GB,OFSTED,
,C#44000218,1274882116,TRUE,lan,GB,OFSTED,
,C#44000219,01274 818717,TRUE,lan,GB,OFSTED,
,C#44000220,7590986410,TRUE,mob,GB,OFSTED,
,C#44000221,1274884500,TRUE,lan,GB,OFSTED,
,C#44000222,7774198046,TRUE,mob,GB,OFSTED,
,C#44000223,1274815555,TRUE,lan,GB,OFSTED,
,C#44000224,1274884173,TRUE,lan,GB,OFSTED,
,C#44000225,01274 884173,TRUE,lan,GB,OFSTED,
,C#44000226,1274833839,TRUE,lan,GB,OFSTED,
,C#44000227,01274 270022,TRUE,lan,GB,OFSTED,
,C#44000228,1274832123,TRUE,lan,GB,OFSTED,
,C#44000229,1274832491,TRUE,lan,GB,OFSTED,
,C#44000230,01535 275095,TRUE,lan,GB,OFSTED,
,C#44000231,0113 234 6098,TRUE,lan,GB,OFSTED,
,C#44000232,01535 273 839,TRUE,lan,GB,OFSTED,
,C#44000233,07989 220324,TRUE,mob,GB,OFSTED,
,C#44000234,1274815862,TRUE,lan,GB,OFSTED,
,C#44000235,1274414761,TRUE,lan,GB,OFSTED,
,C#44000236,7802401909,TRUE,mob,GB,OFSTED,
,C#44000237,0127 4426230,TRUE,lan,GB,OFSTED,
,C#44000238,7827969692,TRUE,mob,GB,OFSTED,
,C#44000239,1274541587,TRUE,lan,GB,OFSTED,
,C#44000240,1274541737,TRUE,lan,GB,OFSTED,
,C#44000241,01274 549264,TRUE,lan,GB,OFSTED,
,C#44000242,01274 549264,TRUE,lan,GB,OFSTED,
,C#44000243,1274541554,TRUE,lan,GB,OFSTED,
,C#44000244,1274777095,TRUE,lan,GB,OFSTED,
,C#44000245,1274484400,TRUE,lan,GB,OFSTED,
,C#44000246,1274564681,TRUE,lan,GB,OFSTED,
,C#44000247,01535 275019,TRUE,lan,GB,OFSTED,
,C#44000248,01535 273663,TRUE,lan,GB,OFSTED,
,C#44000249,7796572798,TRUE,mob,GB,OFSTED,
,C#44000250,01274 562628,TRUE,lan,GB,OFSTED,
,C#44000251,01274 565276,TRUE,lan,GB,OFSTED,
,C#44000252,01274 510988,TRUE,lan,GB,OFSTED,
,C#44000253,01274 568329,TRUE,lan,GB,OFSTED,
,C#44000254,1274562962,TRUE,lan,GB,OFSTED,
,C#44000255,01535 605660,TRUE,lan,GB,OFSTED,
,C#44000256,1274782070,TRUE,lan,GB,OFSTED,
,C#44000257,1274564977,TRUE,lan,GB,OFSTED,
,C#44000258,01274 550962,TRUE,lan,GB,OFSTED,
,C#44000259,7981124093,TRUE,mob,GB,OFSTED,
,C#44000260,1274568361,TRUE,lan,GB,OFSTED,
,C#44000261,1274511572,TRUE,lan,GB,OFSTED,
,C#44000262,1274511572,TRUE,lan,GB,OFSTED,
,C#44000263,7947361531,TRUE,mob,GB,OFSTED,
,C#44000264,1274564879,TRUE,lan,GB,OFSTED,
,C#44000265,7526600793,TRUE,mob,GB,OFSTED,
,C#44000266,7949545828,TRUE,mob,GB,OFSTED,
,C#44000267,1274598115,TRUE,lan,GB,OFSTED,
,C#44000268,7837571812,TRUE,mob,GB,OFSTED,
,C#44000269,1274532811,TRUE,lan,GB,OFSTED,
,C#44000270,01274 586 888,TRUE,lan,GB,OFSTED,
